category,Ref,CART_Precision,CART_Recall,CART_F1,RF_Precision,RF_Recall,RF_F1,SVM_Precision,SVM_Recall,SVM_F1
Hydrothermal,48,,,,,,,,,
Metamorphic,48,,,,,,,,,
Acidic,48,0.00 ,,,,,,,,
Intermediate,48,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.88 ,0.93 
Basic,48,,,,,,,,,
Kimberlite,48,,,,,,,,,
Carbotite,48,0.00 ,,,,,,,,
Ne-syenite,48,,0.00 ,,1.00 ,1.00 ,1.00 ,0.96 ,1.00 ,0.98 
Igneous,50,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,50,,,,,,,,,
Metamorphic,50,,,,,,,,,
Igneous,51,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,51,,,,,,,,,
Metamorphic,51,,,,,,,,,
Acidic,51,0.00 ,,,,,,,,
Intermediate,51,,,,,,,,,
Basic,51,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Kimberlite,51,,,,,,,,,
Carbotite,51,,,,,,,,,
Ne-syenite,51,,,,,,,,,
Igneous,52,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,52,,,,,,,,,
Metamorphic,52,,,,,,,,,
Acidic,52,0.83 ,1.00 ,0.91 ,1.00 ,1.00 ,1.00 ,0.93 ,1.00 ,0.96 
Intermediate,52,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.60 ,0.75 
Basic,52,,,,,,,,,
Kimberlite,52,,,,,,,,,
Carbotite,52,,,,,,,,,
Ne-syenite,52,,,,,,,,,
Igneous,53,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,53,,,,,,,,,
Metamorphic,53,,,,,,,,,
Acidic,53,0.00 ,,,,,,,,
Intermediate,53,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Basic,53,,,,,,,,,
Kimberlite,53,,,,,,,,,
Carbotite,53,,,,,,,,,
Ne-syenite,53,,,,,,,,,
Igneous,54,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,54,,,,,,,,,
Metamorphic,54,,,,,,,,,
Acidic,54,0.00 ,,,,,,,,
Intermediate,54,,,,,,,,,
Basic,54,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Kimberlite,54,,,,,,,,,
Carbotite,54,,,,,,,,,
Ne-syenite,54,,,,,,,,,
Igneous,55,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,55,,,,,,,,,
Metamorphic,55,0.00 ,,,,,,,,
Acidic,55,0.95 ,1.00 ,0.97 ,1.00 ,1.00 ,1.00 ,0.97 ,1.00 ,0.98 
Intermediate,55,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.38 ,0.56 
Basic,55,,,,,,,,,
Kimberlite,55,,,,,,,,,
Carbotite,55,,,,,,,,,
Ne-syenite,55,,,,,,,,,
Igneous,56,1.00 ,0.98 ,0.99 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,56,,,,,,,,,
Metamorphic,56,0.00 ,,,,,,,,
Acidic,56,0.00 ,,,,,,0.00 ,,
Intermediate,56,,,,,,,,,
Basic,56,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.80 ,0.89 
Kimberlite,56,0.00 ,,,,,,,,
Carbotite,56,,,,,,,,,
Ne-syenite,56,,,,,,,,,
Igneous,57,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,57,,,,,,,,,
Metamorphic,57,0.00 ,,,,,,,,
Igneous,61,1.00 ,0.99 ,0.99 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,61,,,,,,,,,
Metamorphic,61,0.00 ,,,,,,,,
Acidic,61,0.84 ,1.00 ,0.91 ,1.00 ,1.00 ,1.00 ,0.95 ,1.00 ,0.97 
Intermediate,61,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.73 ,0.84 
Basic,61,,,,,,,,,
Kimberlite,61,,,,,,,,,
Carbotite,61,,,,,,,,,
Ne-syenite,61,,,,,,,,,
Igneous,62,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,62,,,,,,,,,
Metamorphic,62,0.00 ,,,,,,,,
Igneous,63,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,63,,,,,,,,,
Metamorphic,63,,,,,,,,,
Igneous,64,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,64,,,,,,,,,
Metamorphic,64,,,,,,,,,
Igneous,65,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,65,,,,,,,,,
Metamorphic,65,,,,,,,,,
Acidic,65,0.28 ,1.00 ,0.43 ,1.00 ,1.00 ,1.00 ,0.73 ,0.89 ,0.80 
Intermediate,65,,0.00 ,,1.00 ,1.00 ,1.00 ,0.93 ,0.81 ,0.87 
